country,field_name,avg_fcr,publication_count
Lebanon,Economics,13.755633802816902,71
China,Economics,11.290560064935073,3696
Belgium,Engineering,4.3659829059829036,234
Canada,Biomedical and Clinical Sciences,6.2608277518008268,15826
Italy,Biomedical and Clinical Sciences,7.4480301951288945,28084
United Kingdom,Biomedical and Clinical Sciences,6.9494659960404519,37378
Ireland,Health Sciences,4.9124638592080423,1591
France,Biomedical and Clinical Sciences,7.4096057956936976,12354
Malaysia,Mathematical Sciences,9.924069767441857,86
United States,Health Sciences,5.4947873023766576,48261
South Korea,Environmental Sciences,4.70532994923858,197
India,Biomedical and Clinical Sciences,3.8174550706033381,28044
South Korea,Education,13.087472283813753,451
,Law and Legal Studies,2.9625152864799555,13247
,Information and Computing Sciences,1.2656609161213577,33620
Netherlands,Biomedical and Clinical Sciences,8.763327181650407,7586
Taiwan,"Commerce, Management, Tourism and Services",8.1222461082283246,1349
,Biological Sciences,1.1426116542823612,12785
China,"Commerce, Management, Tourism and Services",9.5309978078463988,13229
Ghana,Biomedical and Clinical Sciences,5.4426440677966106,590
Mexico,Law and Legal Studies,2.2866666666666666,111
Grenada,Biomedical and Clinical Sciences,3.872235294117647,85
Indonesia,Education,2.375073818617111,17543
Australia,"Language, Communication and Culture",8.5153500897666028,557
Turkey,Engineering,5.115210526315793,950
Brazil,Human Society,2.2460329341317364,2672
Saudi Arabia,Mathematical Sciences,8.844082568807341,436
India,"Commerce, Management, Tourism and Services",7.0483702213279695,7952
Germany,Education,8.1336564504632864,1403
Ecuador,Engineering,2.4911764705882344,119
Belgium,Environmental Sciences,6.1627941176470591,68
Cyprus,Economics,12.532359550561798,89
Italy,"Commerce, Management, Tourism and Services",9.6308800603469962,3977
Indonesia,Environmental Sciences,1.4828646748681882,569
,Engineering,0.84771085701347182,8833
Hungary,"Commerce, Management, Tourism and Services",5.1776190476190473,546
Brazil,Education,1.3417069831127346,4382
Kenya,Earth Sciences,3.1315384615384629,26
Japan,Information and Computing Sciences,3.8399606492867684,2033
India,Information and Computing Sciences,5.0564256701868375,14772
India,Biological Sciences,2.9811808583888015,8714
United Kingdom,Information and Computing Sciences,8.9789500567536873,3524
Japan,Biomedical and Clinical Sciences,4.2430745591571011,13667
South Africa,Health Sciences,4.4638792650918591,1905
Canada,Education,7.4944323737099383,1841
Egypt,Health Sciences,2.9924798061389333,1238
Israel,Health Sciences,6.3301132075471696,1060
Russia,Biomedical and Clinical Sciences,2.4103874598070734,6220
Iran,Psychology,4.6736448598130851,535
Iran,Philosophy and Religious Studies,3.0233823529411761,68
Jordan,Engineering,4.8348076923076917,208
Turkey,Economics,7.1464580152671759,655
Italy,Psychology,7.1494799210006574,1519
Chile,Built Environment and Design,5.8167701863354031,161
Ukraine,Human Society,2.3606447963800914,884
Japan,Biological Sciences,4.1722113207547187,2650
Malaysia,Education,5.6080587833219413,1463
Morocco,Biomedical and Clinical Sciences,2.5730900000000019,1000
Turkey,Psychology,5.32406441717791,652
Portugal,Chemical Sciences,3.9145000000000012,200
Australia,Creative Arts and Writing,7.9841753653444663,958
Romania,Built Environment and Design,3.6649180327868853,122
Croatia,Law and Legal Studies,3.1388571428571432,70
Ukraine,Biomedical and Clinical Sciences,1.6107565588773658,1639
Mexico,Education,3.2397545357524002,937
Nigeria,"Agricultural, Veterinary and Food Sciences",3.092784810126584,316
Canada,"History, Heritage and Archaeology",6.2430000000000012,180
Afghanistan,"Commerce, Management, Tourism and Services",3.7769999999999997,10
Colombia,Education,3.1376217228464411,534
Australia,Biological Sciences,6.0831064935064978,1925
Belgium,Health Sciences,5.6613711790393015,1145
Italy,Engineering,4.5794407158836741,1788
Philippines,Health Sciences,3.667529002320185,862
Ukraine,"Language, Communication and Culture",1.8784647302904556,241
Nigeria,Environmental Sciences,7.3903355704698033,149
Colombia,Biological Sciences,3.0671604938271608,243
United States,Creative Arts and Writing,7.0170775691699614,4048
France,Mathematical Sciences,6.1809497206703927,179
,Built Environment and Design,1.4035753651143541,7258
Brazil,"Language, Communication and Culture",1.3061869747899157,952
Costa Rica,Education,1.973939393939395,99
Russia,Health Sciences,1.8429890453834123,639
Kazakhstan,Health Sciences,4.5179464285714293,112
United States,Engineering,5.0228601119104788,6255
France,Biological Sciences,4.6594321629822293,2307
Israel,Biological Sciences,4.4553593750000031,640
Serbia,Education,6.884234234234234,111
Algeria,Chemical Sciences,3.7125531914893624,94
Italy,Economics,6.2644771494965141,1291
Slovakia,Information and Computing Sciences,3.6038202247191014,178
Iraq,Biomedical and Clinical Sciences,3.2546206896551726,1160
France,"Commerce, Management, Tourism and Services",10.156956106870242,2096
South Africa,Information and Computing Sciences,7.4003852596314932,597
Brunei,"Commerce, Management, Tourism and Services",9.5773770491803312,122
Mexico,Creative Arts and Writing,2.1001257861635221,159
Taiwan,Information and Computing Sciences,6.0159025787965685,1047
Malta,Biomedical and Clinical Sciences,4.4037190082644644,242
United Kingdom,Built Environment and Design,6.3118562231759681,1864
Bahrain,Education,6.5713541666666693,96
