field_name,fcr,publication_count
,0.3,1
,0.48,1
,0.5,1
,0.0,6
,0.42,1
,1.8,1
,0.22,1
"Agricultural, Veterinary and Food Sciences",6.77,32
"Agricultural, Veterinary and Food Sciences",6.57,8
"Agricultural, Veterinary and Food Sciences",0.92,126
"Agricultural, Veterinary and Food Sciences",9.38,19
"Agricultural, Veterinary and Food Sciences",2.38,17
"Agricultural, Veterinary and Food Sciences",0.47,34
"Agricultural, Veterinary and Food Sciences",32.68,3
"Agricultural, Veterinary and Food Sciences",1.82,117
"Agricultural, Veterinary and Food Sciences",10.75,8
"Agricultural, Veterinary and Food Sciences",4.53,148
"Agricultural, Veterinary and Food Sciences",8.98,20
"Agricultural, Veterinary and Food Sciences",2.24,149
"Agricultural, Veterinary and Food Sciences",3.67,14
"Agricultural, Veterinary and Food Sciences",0.25,73
"Agricultural, Veterinary and Food Sciences",6.13,5
"Agricultural, Veterinary and Food Sciences",1.32,30
"Agricultural, Veterinary and Food Sciences",6.26,16
"Agricultural, Veterinary and Food Sciences",5.54,32
"Agricultural, Veterinary and Food Sciences",1.56,113
"Agricultural, Veterinary and Food Sciences",23.71,2
"Agricultural, Veterinary and Food Sciences",2.25,58
"Agricultural, Veterinary and Food Sciences",13.01,2
"Agricultural, Veterinary and Food Sciences",2.34,95
"Agricultural, Veterinary and Food Sciences",2.94,41
"Agricultural, Veterinary and Food Sciences",24.2,2
"Agricultural, Veterinary and Food Sciences",22.43,2
"Agricultural, Veterinary and Food Sciences",1.71,74
"Agricultural, Veterinary and Food Sciences",7.15,15
"Agricultural, Veterinary and Food Sciences",1.92,127
"Agricultural, Veterinary and Food Sciences",71.45,1
"Agricultural, Veterinary and Food Sciences",14.77,8
"Agricultural, Veterinary and Food Sciences",9.23,26
"Agricultural, Veterinary and Food Sciences",1.57,57
"Agricultural, Veterinary and Food Sciences",49.85,1
"Agricultural, Veterinary and Food Sciences",1.8,35
"Agricultural, Veterinary and Food Sciences",9.61,3
"Agricultural, Veterinary and Food Sciences",1.79,275
"Agricultural, Veterinary and Food Sciences",3.3,16
"Agricultural, Veterinary and Food Sciences",14.06,3
"Agricultural, Veterinary and Food Sciences",6.17,9
"Agricultural, Veterinary and Food Sciences",7.43,11
"Agricultural, Veterinary and Food Sciences",3.21,120
"Agricultural, Veterinary and Food Sciences",1.37,20
"Agricultural, Veterinary and Food Sciences",5.1,23
"Agricultural, Veterinary and Food Sciences",1.39,119
"Agricultural, Veterinary and Food Sciences",3.26,36
"Agricultural, Veterinary and Food Sciences",3.69,50
"Agricultural, Veterinary and Food Sciences",6.58,7
"Agricultural, Veterinary and Food Sciences",11.83,12
"Agricultural, Veterinary and Food Sciences",4.79,7
"Agricultural, Veterinary and Food Sciences",22.8,2
"Agricultural, Veterinary and Food Sciences",5.16,7
"Agricultural, Veterinary and Food Sciences",5.42,13
"Agricultural, Veterinary and Food Sciences",8.33,5
"Agricultural, Veterinary and Food Sciences",1.06,17
"Agricultural, Veterinary and Food Sciences",1.34,293
"Agricultural, Veterinary and Food Sciences",0.59,27
"Agricultural, Veterinary and Food Sciences",3.13,174
"Agricultural, Veterinary and Food Sciences",1.36,36
"Agricultural, Veterinary and Food Sciences",9.4,26
"Agricultural, Veterinary and Food Sciences",4.33,13
"Agricultural, Veterinary and Food Sciences",9.92,3
"Agricultural, Veterinary and Food Sciences",0.28,40
"Agricultural, Veterinary and Food Sciences",0.54,37
"Agricultural, Veterinary and Food Sciences",0.3,90
"Agricultural, Veterinary and Food Sciences",7.7,42
"Agricultural, Veterinary and Food Sciences",24.28,2
"Agricultural, Veterinary and Food Sciences",4.64,5
"Agricultural, Veterinary and Food Sciences",2.58,19
"Agricultural, Veterinary and Food Sciences",6.44,4
"Agricultural, Veterinary and Food Sciences",2.33,34
"Agricultural, Veterinary and Food Sciences",17.09,7
"Agricultural, Veterinary and Food Sciences",42.02,3
"Agricultural, Veterinary and Food Sciences",4.8,13
"Agricultural, Veterinary and Food Sciences",6.41,8
"Agricultural, Veterinary and Food Sciences",1.44,17
"Agricultural, Veterinary and Food Sciences",8.24,27
"Agricultural, Veterinary and Food Sciences",12.18,4
"Agricultural, Veterinary and Food Sciences",6.9,7
"Agricultural, Veterinary and Food Sciences",3.03,37
"Agricultural, Veterinary and Food Sciences",8.07,4
"Agricultural, Veterinary and Food Sciences",0.65,83
"Agricultural, Veterinary and Food Sciences",8.04,9
"Agricultural, Veterinary and Food Sciences",23.3,4
"Agricultural, Veterinary and Food Sciences",6.16,15
"Agricultural, Veterinary and Food Sciences",7.88,20
"Agricultural, Veterinary and Food Sciences",3.54,20
"Agricultural, Veterinary and Food Sciences",12.59,2
"Agricultural, Veterinary and Food Sciences",14.08,2
"Agricultural, Veterinary and Food Sciences",0.53,20
"Agricultural, Veterinary and Food Sciences",2.4,15
"Agricultural, Veterinary and Food Sciences",6.32,10
"Agricultural, Veterinary and Food Sciences",16.95,2
"Agricultural, Veterinary and Food Sciences",0.24,31
"Agricultural, Veterinary and Food Sciences",2.42,15
"Agricultural, Veterinary and Food Sciences",9.31,3
"Agricultural, Veterinary and Food Sciences",2.83,14
"Agricultural, Veterinary and Food Sciences",0.29,60
"Agricultural, Veterinary and Food Sciences",1.14,31
"Agricultural, Veterinary and Food Sciences",4.63,21
"Agricultural, Veterinary and Food Sciences",5.95,8
